entity_id,company_name,country,wikidata_qid,wikidata_description,wikidata_country,wikidata_hq
http://www.wikidata.org/entity/Q29637,škoda auto,Czech Republic,Q29637,automotive manufacturing subsidiary of Volkswagen Group,Czech Republic,Mladá Boleslav
http://www.wikidata.org/entity/Q29803,isuzu,Japan,Q29803,Japanese company manufacturing motor vehicles,Japan,Yokohama
http://www.wikidata.org/entity/Q29855,cage warriors,United Kingdom,Q29855,"Mixed martial arts promotion, based in London, UK.",United Kingdom,London
http://www.wikidata.org/entity/Q30113,q30113,United States,Q30113,US automotive company,United States,Toledo
http://www.wikidata.org/entity/Q30373,kaipan,Czech Republic,Q30373,Czech vehicle manufacturer,Czech Republic,Smržovka
http://www.wikidata.org/entity/Q30378,kamaz,Russia,Q30378,Russian truck and bus manufacturer,Russia,Naberezhnye Chelny
http://www.wikidata.org/entity/Q30873,dell,United States,Q30873,American multinational computer technology corporation,United States,Round Rock
http://www.wikidata.org/entity/Q32277,virgin atlantic,United Kingdom,Q32277,British airline,United Kingdom,Crawley
http://www.wikidata.org/entity/Q32294,mpl communications,United Kingdom,Q32294,holding company for the business interests of Sir Paul McCartney,United Kingdom,New York City
http://www.wikidata.org/entity/Q32396,american airlines,United States,Q32396,major airline of the United States,United States,Fort Worth
http://www.wikidata.org/entity/Q34416,saint-gobain building distribution germany,Germany,Q34416,German subsidiary of French industrial firm Saint-Gobain,Germany,Offenbach am Main
http://www.wikidata.org/entity/Q34534,lite-on technology,Taiwan,Q34534,computer storage devices company,Taiwan,Taipei
http://www.wikidata.org/entity/Q35305,karosa,Czech Republic,Q35305,Czech Republic bus manufacturer (1896-1999),Czech Republic,Vysoké Mýto
http://www.wikidata.org/entity/Q35305,karosa,Czechoslovakia,Q35305,Czech Republic bus manufacturer (1896-1999),Czech Republic,Vysoké Mýto
http://www.wikidata.org/entity/Q35339,wwe,United States,Q35339,American professional wrestling and entertainment company,United States,Stamford
http://www.wikidata.org/entity/Q35349,kia,South Korea,Q35349,South Korean automobile manufacturer,South Korea,Seoul
http://www.wikidata.org/entity/Q35476,at&t,United States,Q35476,American multinational conglomerate,United States,Dallas
http://www.wikidata.org/entity/Q35594,koenigsegg,Sweden,Q35594,Swedish manufacturer of high-performance sports cars,Sweden,Ängelholm
http://www.wikidata.org/entity/Q35886,lamborghini,Italy,Q35886,Italian car manufacturer,Italy,Sant'Agata Bolognese
http://www.wikidata.org/entity/Q35914,laurin & klement,Austria–Hungary,Q35914,"bicycle, motorcycle and automobile manufacturer in Bohemia",Austria–Hungary,Mladá Boleslav
http://www.wikidata.org/entity/Q35914,laurin & klement,Czechoslovakia,Q35914,"bicycle, motorcycle and automobile manufacturer in Bohemia",Austria–Hungary,Mladá Boleslav
http://www.wikidata.org/entity/Q35927,liaz,Czech Republic,Q35927,Czech and Czechoslovak manufacturer of trucks,Czech Republic,Liberec
http://www.wikidata.org/entity/Q35927,liaz,Czechoslovakia,Q35927,Czech and Czechoslovak manufacturer of trucks,Czech Republic,Liberec
http://www.wikidata.org/entity/Q36008,mercedes-benz,Germany,Q36008,German automobile brand owned by Mercedes-Benz AG,Germany,Stuttgart
http://www.wikidata.org/entity/Q37156,ibm,United States,Q37156,American multinational technology corporation,United States,Armonk
http://www.wikidata.org/entity/Q38076,mcdonald's,United States,Q38076,American fast food restaurant chain,United States,Chicago
http://www.wikidata.org/entity/Q38676,agnico eagle mines,Canada,Q38676,Canadian gold producer,Canada,Toronto
http://www.wikidata.org/entity/Q38928,pnc financial services,United States,Q38928,North American bank,United States,One PNC Plaza
http://www.wikidata.org/entity/Q39064,canonical ltd.,United Kingdom,Q39064,"London-based software company, developer of Ubuntu",United Kingdom,London
http://www.wikidata.org/entity/Q39146,bank of beijing,People's Republic of China,Q39146,"commercial bank based in Beijing, China",People's Republic of China,Beijing
http://www.wikidata.org/entity/Q39183,fc zlín,Czech Republic,Q39183,Czech association football club,Czech Republic,Zlín
http://www.wikidata.org/entity/Q39586,talvivaara mining company,Finland,Q39586,Finnish-based mining business,Finland,Haukilahti
http://www.wikidata.org/entity/Q40233,european pressphoto agency,Germany,Q40233,international news photo agency,Germany,Frankfurt
http://www.wikidata.org/entity/Q40650,imperial oil,Canada,Q40650,Canadian petroleum company,Canada,Toronto
http://www.wikidata.org/entity/Q40963,oltcit,Romania,Q40963,automobile manufacturer,Romania,Craiova
http://www.wikidata.org/entity/Q40978,pierce-arrow,United States,Q40978,American automobile manufacturer,United States,Buffalo
http://www.wikidata.org/entity/Q41014,rickenbacker,United States,Q41014,electric and bass guitar manufacturer,United States,Santa Ana
http://www.wikidata.org/entity/Q41230,islamic development bank,Saudi Arabia,Q41230,"multilateral development financing institution located in Jeddah, Saudi Arabia",Saudi Arabia,Jeddah
http://www.wikidata.org/entity/Q41461,abb oy,Finland,Q41461,Finnish subsidiary of ABB,Finland,Helsinki
http://www.wikidata.org/entity/Q41463,total e&p,Denmark,Q41463,Danish oil and gas company,Denmark,Copenhagen
http://www.wikidata.org/entity/Q43320,opentable,United States,Q43320,American internet company owned by Booking Holdings,United States,San Francisco
http://www.wikidata.org/entity/Q43335,bursa malaysia,Malaysia,Q43335,"formerly known as Kuala Lumpur Stock Exchange, exchange holding company located in Kuala Lumpur, Malaysia",Malaysia,Exchange Square
http://www.wikidata.org/entity/Q43386,perlis plantations bhd,Malaysia,Q43386,company,Malaysia,Kuala Lumpur
http://www.wikidata.org/entity/Q43709,rfm corporation,Philippines,Q43709,company,Philippines,Mandaluyong
http://www.wikidata.org/entity/Q44027,iran tractor manufacturing company,Iran,Q44027,Iranian tractor and heavy equipment manufacturer,Iran,Tabriz
http://www.wikidata.org/entity/Q44092,aesculap,Germany,Q44092,German surgical instrument company,Germany,Tuttlingen
http://www.wikidata.org/entity/Q44294,ford motor company,United States,Q44294,American multinational automotive company,United States,Dearborn
http://www.wikidata.org/entity/Q44353,db cargo,Germany,Q44353,international transport and logistics company,Germany,Mainz
http://www.wikidata.org/entity/Q44504,inditex,Spain,Q44504,Spanish multinational clothing company,Spain,Arteixo
http://www.wikidata.org/entity/Q45464,tatra,Czech Republic,Q45464,Czech vehicle manufacturer,Czech Republic,Kopřivnice
http://www.wikidata.org/entity/Q45557,flsmidth,Denmark,Q45557,company,Denmark,Valby
http://www.wikidata.org/entity/Q45568,unicredit,Italy,Q45568,Italian global banking and financial services company,Italy,UniCredit Tower
http://www.wikidata.org/entity/Q45576,novonesis,Denmark,Q45576,Danish company,Denmark,Bagsværd
http://www.wikidata.org/entity/Q45600,bitstream inc.,United States,Q45600,typeface foundry,United States,Cambridge
http://www.wikidata.org/entity/Q46719,zbrojovka brno,Czech Republic,Q46719,defunct Czech firearm and vehicle manufacturer,Czech Republic,Prague
http://www.wikidata.org/entity/Q46719,zbrojovka brno,Czechoslovakia,Q46719,defunct Czech firearm and vehicle manufacturer,Czech Republic,Prague
http://www.wikidata.org/entity/Q46730,banca monte dei paschi di siena,Italy,Q46730,Italian bank,Italy,Siena
http://www.wikidata.org/entity/Q46974,canadian pacific railway,Canada,Q46974,Class I railroad in Canada and U.S.,Canada,Calgary
http://www.wikidata.org/entity/Q46974,canadian pacific railway,United States,Q46974,Class I railroad in Canada and U.S.,Canada,Calgary
http://www.wikidata.org/entity/Q47099,grupo televisa,Mexico,Q47099,Mexican entertainment and media conglomerate,Mexico,Mexico City
http://www.wikidata.org/entity/Q48505,luxor ab,Sweden,Q48505,Swedish home electronics and computer manufacturer located in Motala,Sweden,Motala
http://www.wikidata.org/entity/Q48754,ppg industries,United States,Q48754,"global supplier of glass, paint, coatings and chemical products",United States,Pittsburgh
http://www.wikidata.org/entity/Q48755,rpm international,United States,Q48755,multinational holding company,United States,Medina
http://www.wikidata.org/entity/Q48822,valspar,United States,Q48822,company,United States,Minneapolis
http://www.wikidata.org/entity/Q48872,eaton corporation,Ireland,Q48872,multinational power management company,Ireland,Cleveland
http://www.wikidata.org/entity/Q48872,eaton corporation,United States,Q48872,multinational power management company,Ireland,Cleveland
http://www.wikidata.org/entity/Q48881,sherwin-williams,United States,Q48881,American paint and coatings manufacturing company,United States,Cleveland
http://www.wikidata.org/entity/Q49125,toshiba,Japan,Q49125,Japanese multinational conglomerate corporation,Japan,Minato
http://www.wikidata.org/entity/Q49203,sanyo,Japan,Q49203,Japanese electronics company,Japan,Osaka
http://www.wikidata.org/entity/Q50907,q50907,Denmark,Q50907,Danish industrial paint and wood manufacturer,Denmark,Søborg
http://www.wikidata.org/entity/Q50909,ab wilh. becker,Sweden,Q50909,"Swedish paint company, founded 1865",Sweden,Höganäs
http://www.wikidata.org/entity/Q50911,imageshack,United States,Q50911,image hosting website,United States,Los Gatos
http://www.wikidata.org/entity/Q50912,akzonobel,Netherlands,Q50912,Dutch chemical company,Netherlands,Amsterdam
http://www.wikidata.org/entity/Q51709,"foursquare labs, inc.",United States,Q51709,American technology company,United States,New York City
http://www.wikidata.org/entity/Q51711,quora,United States,Q51711,American question-and-answer website,United States,Mountain View
http://www.wikidata.org/entity/Q51744,autonavi holdings limited,People's Republic of China,Q51744,corporation of digital map content and navigation and location-based solutions,People's Republic of China,Wangjing subdistrict
http://www.wikidata.org/entity/Q51756,china airlines,Taiwan,Q51756,flag carrier and largest airline in Republic of China,Taiwan,CAL Park
http://www.wikidata.org/entity/Q52245,verkehrsbetriebe biel/transports publics biennois,Switzerland,Q52245,company,Switzerland,Biel/Bienne
http://www.wikidata.org/entity/Q52579,lkab,Sweden,Q52579,Swedish mining company,Sweden,Luleå
http://www.wikidata.org/entity/Q52592,stora kopparbergs bergslags aktiebolag,Sweden,Q52592,defunct Swedish company active in the wood industry,Sweden,Falun
http://www.wikidata.org/entity/Q136132,arcandor,Germany,Q136132,company,Germany,Essen
http://www.wikidata.org/entity/Q136135,zg raiffeisen,Germany,Q136135,German agricultural supply cooperative,Germany,Karlsruhe
http://www.wikidata.org/entity/Q136196,analytik jena,Germany,Q136196,company,Germany,Jena
http://www.wikidata.org/entity/Q136279,cph deutschland,Germany,Q136279,company,Germany,Essen
http://www.wikidata.org/entity/Q136331,nos,Portugal,Q1515393,Dutch broadcasting organisation,Netherlands,Hilversum
http://www.wikidata.org/entity/Q136484,zte,People's Republic of China,Q144952,Hungarian association football club,Hungary,Zalaegerszeg
http://www.wikidata.org/entity/Q136542,hochtief,Germany,Q136542,German construction company,Germany,Essen
http://www.wikidata.org/entity/Q136738,mothercare,United Kingdom,Q136738,British manufacturer of products for expectant mothers and young children,United Kingdom,Watford
http://www.wikidata.org/entity/Q136915,medion,Germany,Q136915,German electronic products company,Germany,Gustav-Heinemann-Kaserne
http://www.wikidata.org/entity/Q137023,primark,Ireland,Q137023,Irish clothing retailer,Ireland,Dublin
http://www.wikidata.org/entity/Q137086,mindware studios,Czech Republic,Q137086,Czech video game developer,Czech Republic,Prague
http://www.wikidata.org/entity/Q137317,funke mediengruppe,Germany,Q137317,German media and newspaper company,Germany,Essen
http://www.wikidata.org/entity/Q137803,sumitomo chemical,Japan,Q137803,company,Japan,Chūō
http://www.wikidata.org/entity/Q137910,thyssenkrupp ag,Germany,Q137910,German multinational conglomerate corporation,Germany,Essen
http://www.wikidata.org/entity/Q138109,baume et mercier,Switzerland,Q138109,Swiss luxury watchmaker,Switzerland,Geneva
http://www.wikidata.org/entity/Q138133,rwe,Germany,Q138133,German multinational energy company,Germany,Essen
http://www.wikidata.org/entity/Q138532,q138532,Germany,Q138532,"German watch manufacturer from Glashütte, Saxony",Germany,Glashütte
http://www.wikidata.org/entity/Q138736,qbe insurance,Australia,Q138736,company,Australia,Sydney
http://www.wikidata.org/entity/Q138799,aperam south america,Brazil,Q138799,Brazilian steel company,Brazil,Belo Horizonte
http://www.wikidata.org/entity/Q138913,jysk,Denmark,Q138913,Danish multinational furniture company,Denmark,Brabrand
http://www.wikidata.org/entity/Q140381,zagrebačka banka,Croatia,Q140381,largest bank in Croatia,Croatia,Zagreb
http://www.wikidata.org/entity/Q140388,zagreb stock exchange,Croatia,Q140388,"stock exchange located in Zagreb, Croatia",Croatia,Zagreb
http://www.wikidata.org/entity/Q142054,kumon,Canada,Q142054,educational company based in Japan,Canada,Osaka
http://www.wikidata.org/entity/Q142054,kumon,Japan,Q142054,educational company based in Japan,Canada,Osaka
http://www.wikidata.org/entity/Q142054,kumon,United States,Q142054,educational company based in Japan,Canada,Osaka
http://www.wikidata.org/entity/Q142054,kumon,Taiwan,Q142054,educational company based in Japan,Canada,Osaka
http://www.wikidata.org/entity/Q142054,kumon,South Korea,Q142054,educational company based in Japan,Canada,Osaka
http://www.wikidata.org/entity/Q142054,kumon,Hong Kong,Q142054,educational company based in Japan,Canada,Osaka
http://www.wikidata.org/entity/Q142691,montblanc international gmbh,Germany,Q142691,German company,Germany,Hamburg
http://www.wikidata.org/entity/Q142720,autoneum,Switzerland,Q142720,Swiss automotive supplier,Switzerland,Winterthur
http://www.wikidata.org/entity/Q142765,starpath,United States,Q142765,company,United States,Livermore
http://www.wikidata.org/entity/Q143435,unum,United States,Q143435,company,United States,Chattanooga
http://www.wikidata.org/entity/Q143616,united microelectronics corporation,Taiwan,Q143616,semiconductor foundry company headquartered in Taiwan,Taiwan,Hsinchu City
http://www.wikidata.org/entity/Q143833,kaspi bank,Kazakhstan,Q143833,Kazakh financial institution,Kazakhstan,Almaty
http://www.wikidata.org/entity/Q143852,eurasian bank,Kazakhstan,Q143852,company,Kazakhstan,Almaty
http://www.wikidata.org/entity/Q144364,zain group,Kuwait,Q144364,Kuwaiti multinational telecommunications company,Kuwait,Kuwait City
http://www.wikidata.org/entity/Q144617,tim group,Italy,Q144617,Italian telecommunications company,Italy,Rome
http://www.wikidata.org/entity/Q144888,zakłady chemiczne police,Poland,Q144888,public company,Poland,Police
http://www.wikidata.org/entity/Q145168,dollar general,United States,Q145168,discount variety store chain in the USA,United States,Goodlettsville
http://www.wikidata.org/entity/Q145270,coverity,United States,Q145270,company,United States,San Francisco
http://www.wikidata.org/entity/Q145510,zambia national commercial bank,Zambia,Q145510,commercial bank in Zambia,Zambia,Lusaka
http://www.wikidata.org/entity/Q145614,magyar posta,Hungary,Q145614,Hungarian postal company,Hungary,Budapest
http://www.wikidata.org/entity/Q145663,hansa borg bryggerier,Norway,Q145663,company,Norway,Bergen
http://www.wikidata.org/entity/Q147065,electrolux italy,Italy,Q147065,Italian producer of home appliances,Italy,Pordenone
